tempo, rssi, distancia, nivel_invasao, amostragem
16:19:12.261, -43, 0.5, 1, 0.050
16:19:12.357, -43, 0.5, 1, 0.050
16:19:12.453, -43, 0.5, 1, 0.050
16:19:12.551, -38, 0.5, 1, 0.050
16:19:12.648, -39, 0.5, 1, 0.050
16:19:12.809, -48, 0.5, 1, 0.050
16:19:12.906, -42, 0.5, 1, 0.050
16:19:13.003, -54, 0.5, 1, 0.050
16:25:18.911, -70, 1, 0, 0.050
16:25:19.009, -64, 1, 0, 0.050
16:25:19.104, -63, 1, 0, 0.050
16:25:19.201, -64, 1, 0, 0.050
16:25:19.425, -64, 1, 0, 0.050
16:25:19.618, -58, 1, 0, 0.050
16:25:19.714, -62, 1, 0, 0.050
16:25:19.874, -66, 1, 0, 0.050
16:25:19.971, -63, 1, 0, 0.050
16:25:20.068, -63, 1, 0, 0.050
16:25:20.165, -63, 1, 0, 0.050
16:25:20.262, -64, 1, 0, 0.050
16:25:20.359, -62, 1, 0, 0.050
16:25:20.454, -64, 1, 0, 0.050
16:25:20.583, -61, 1, 0, 0.050
16:25:20.712, -68, 1, 0, 0.050
16:25:20.809, -64, 1, 0, 0.050
16:25:20.905, -64, 1, 0, 0.050
16:25:21.036, -64, 1, 0, 0.050
16:25:21.133, -64, 1, 0, 0.050
16:25:21.231, -65, 1, 0, 0.050
16:25:21.327, -64, 1, 0, 0.050
